dataset,fname,label,sublabel,source,Unnamed: 4,filepath,duration
a,artifact__201012172012.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201012172012.wav,9.0
a,artifact__201105040918.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105040918.wav,9.0
a,artifact__201105041959.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105041959.wav,9.0
a,artifact__201105051017.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105051017.wav,9.0
a,artifact__201105060108.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105060108.wav,9.0
a,artifact__201105061143.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105061143.wav,9.0
a,artifact__201105190800.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105190800.wav,9.0
a,artifact__201105280851.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201105280851.wav,9.0
a,artifact__201106010559.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106010559.wav,9.0
a,artifact__201106010602.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106010602.wav,9.0
a,artifact__201106021541.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106021541.wav,9.0
a,artifact__201106030612.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106030612.wav,9.0
a,artifact__201106031558.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106031558.wav,9.0
a,artifact__201106040722.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106040722.wav,9.0
a,artifact__201106040933.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106040933.wav,9.0
a,artifact__201106040947.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106040947.wav,9.0
a,artifact__201106041452.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106041452.wav,9.0
a,artifact__201106050353.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106050353.wav,9.0
a,artifact__201106061233.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106061233.wav,9.0
a,artifact__201106070537.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106070537.wav,9.0
a,artifact__201106070949.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106070949.wav,9.0
a,artifact__201106101314.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106101314.wav,9.0
a,artifact__201106101955.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106101955.wav,9.0
a,artifact__201106110909.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106110909.wav,9.0
a,artifact__201106111119.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106111119.wav,9.0
a,artifact__201106121242.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106121242.wav,9.0
a,artifact__201106121445.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106121445.wav,9.0
a,artifact__201106131834.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106131834.wav,9.0
a,artifact__201106131835.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106131835.wav,9.0
a,artifact__201106141701.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106141701.wav,9.0
a,artifact__201106161016.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106161016.wav,9.0
a,artifact__201106161019.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106161019.wav,9.0
a,artifact__201106161219.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106161219.wav,9.0
a,artifact__201106171003.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106171003.wav,9.0
a,artifact__201106190520.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106190520.wav,9.0
a,artifact__201106211041.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106211041.wav,9.0
a,artifact__201106211430.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106211430.wav,9.0
a,artifact__201106212112.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106212112.wav,9.0
a,artifact__201106220340.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106220340.wav,9.0
a,artifact__201106221254.wav,artifact,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/artifact__201106221254.wav,9.0
a,extrahls__201101070953.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101070953.wav,8.8840589569161
a,extrahls__201101091153.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101091153.wav,9.0
a,extrahls__201101152255.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101152255.wav,8.026167800453514
a,extrahls__201101160804.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101160804.wav,7.0173922902494335
a,extrahls__201101160808.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101160808.wav,6.167120181405895
a,extrahls__201101161027.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101161027.wav,5.9556916099773245
a,extrahls__201101241423.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101241423.wav,9.0
a,extrahls__201101241433.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201101241433.wav,9.0
a,extrahls__201102070251.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201102070251.wav,8.01392290249433
a,extrahls__201102071835.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201102071835.wav,7.863514739229025
a,extrahls__201102241217.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201102241217.wav,9.0
a,extrahls__201103150114.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201103150114.wav,9.0
a,extrahls__201103170134.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201103170134.wav,7.8802267573696145
a,extrahls__201103182227.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201103182227.wav,9.0
a,extrahls__201103200218.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201103200218.wav,9.0
a,extrahls__201104021355.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201104021355.wav,0.9363718820861678
a,extrahls__201104140118.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201104140118.wav,1.9473922902494332
a,extrahls__201104270458.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201104270458.wav,3.2353968253968253
a,extrahls__201104270459.wav,extrahls,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/extrahls__201104270459.wav,1.6452380952380952
a,murmur__201101051104.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201101051104.wav,8.8840589569161
a,murmur__201101051108.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201101051108.wav,8.8840589569161
a,murmur__201101051114.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201101051114.wav,8.8840589569161
a,murmur__201101180902.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201101180902.wav,8.034421768707483
a,murmur__201102051443.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201102051443.wav,6.818934240362812
a,murmur__201102052338.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201102052338.wav,9.0
a,murmur__201103291548.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201103291548.wav,7.504172335600907
a,murmur__201104021355.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201104021355.wav,0.9363718820861678
a,murmur__201104241315.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201104241315.wav,9.0
a,murmur__201104291843.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201104291843.wav,4.82687074829932
a,murmur__201106141148.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201106141148.wav,5.966575963718821
